Date,H_Team,H_MP,H_FG,H_FGA,H_FG%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_+/-,A_Team,A_MP,A_FG,A_FGA,A_FG%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_PTS,A_+/-
"June 7, 2021",PHO,240,46,85,.541,13,34,.382,17,20,.850,7,37,44,30,8,4,10,12,122,,DEN,240,43,92,.467,14,40,.350,5,6,.833,11,30,41,26,10,4,11,17,105,
"June 7, 2021",BRK,240,49,94,.521,21,42,.500,6,7,.857,9,33,42,27,8,3,8,17,125,,MIL,240,37,84,.440,8,27,.296,4,9,.444,11,33,44,14,2,3,16,12,86,
"June 6, 2021",LAC,240,41,82,.500,20,43,.465,24,24,1.000,8,27,35,30,11,2,8,21,126,,DAL,240,45,91,.495,10,36,.278,11,17,.647,16,31,47,22,4,1,14,21,111,
"June 6, 2021",PHI,240,45,82,.549,10,29,.345,24,35,.686,8,33,41,25,12,5,19,22,124,,ATL,240,44,86,.512,20,47,.426,20,21,.952,3,32,35,23,10,3,15,26,128,
"June 5, 2021",BRK,240,46,98,.469,15,39,.385,8,9,.889,6,41,47,25,7,6,8,21,115,,MIL,240,45,101,.446,6,30,.200,11,19,.579,15,43,58,21,4,3,14,15,107,
"June 4, 2021",DAL,240,37,89,.416,11,34,.324,12,14,.857,8,34,42,23,9,2,11,21,97,,LAC,240,36,77,.468,10,34,.294,22,28,.786,6,36,42,18,7,3,13,14,104,
"June 3, 2021",LAL,240,38,91,.418,10,35,.286,14,16,.875,11,24,35,21,5,3,7,20,100,,PHO,240,37,73,.507,18,35,.514,21,22,.955,8,34,42,24,5,9,12,17,113,
"June 3, 2021",POR,240,40,79,.506,15,36,.417,20,22,.909,8,29,37,24,7,7,16,22,115,,DEN,240,44,86,.512,15,34,.441,23,27,.852,10,29,39,28,8,3,12,18,126,
"June 2, 2021",LAC,240,33,80,.413,14,38,.368,20,25,.800,10,37,47,25,5,10,12,20,100,,DAL,240,37,89,.416,14,36,.389,17,19,.895,11,34,45,21,9,2,8,23,105,
"June 2, 2021",UTA,240,49,95,.516,17,44,.386,11,12,.917,11,40,51,27,10,5,14,16,126,,MEM,240,44,95,.463,14,39,.359,8,9,.889,8,31,39,23,7,6,14,12,110,
"June 2, 2021",NYK,240,31,82,.378,12,30,.400,15,18,.833,14,31,45,19,5,4,16,22,89,,ATL,240,37,87,.425,9,34,.265,20,26,.769,14,34,48,17,7,8,11,16,103,
"June 2, 2021",PHI,240,43,84,.512,9,27,.333,34,43,.791,8,32,40,28,9,6,8,25,129,,WAS,240,39,79,.494,8,20,.400,26,33,.788,7,31,38,22,4,3,15,30,112,
"June 1, 2021",PHO,240,43,94,.457,14,42,.333,15,21,.714,3,44,47,29,7,4,4,22,115,,LAL,240,29,84,.345,12,35,.343,15,21,.714,10,41,51,14,3,1,16,25,85,
"June 1, 2021",DEN,290,50,104,.481,20,44,.455,27,32,.844,13,39,52,33,5,5,11,24,147,,POR,290,47,103,.456,21,48,.438,25,29,.862,10,35,45,25,6,6,14,31,140,
"June 1, 2021",BRK,240,43,84,.512,15,32,.469,22,25,.880,7,32,39,26,6,7,8,21,123,,BOS,240,40,92,.435,11,40,.275,18,23,.783,13,31,44,18,3,12,11,21,109,
"May 31, 2021",MEM,240,43,92,.467,10,35,.286,17,20,.850,7,35,42,26,8,4,9,21,113,,UTA,240,39,85,.459,17,34,.500,25,28,.893,7,35,42,23,7,4,11,16,120,
"May 31, 2021",WAS,240,40,88,.455,9,24,.375,33,42,.786,13,44,57,24,8,12,13,27,122,,PHI,240,40,96,.417,12,38,.316,22,34,.647,12,36,48,21,7,6,11,30,114,
"May 30, 2021",DAL,240,31,89,.348,5,30,.167,14,22,.636,10,31,41,15,3,1,8,20,81,,LAC,240,37,77,.481,13,33,.394,19,25,.760,9,44,53,16,7,6,11,25,106,
"May 30, 2021",BOS,240,37,84,.440,14,40,.350,38,42,.905,11,23,34,24,8,4,10,21,126,,BRK,240,48,83,.578,16,27,.593,29,30,.967,9,27,36,29,8,9,9,28,141,
"May 30, 2021",LAL,240,32,81,.395,13,40,.325,15,21,.714,9,41,50,19,3,5,15,18,92,,PHO,240,37,85,.435,10,35,.286,16,21,.762,9,40,49,24,12,4,10,20,100,
"May 30, 2021",ATL,240,36,82,.439,15,39,.385,26,28,.929,9,39,48,24,4,2,10,22,113,,NYK,240,34,81,.420,9,29,.310,19,23,.826,6,33,39,24,7,2,9,20,96,
"May 29, 2021",MEM,240,43,100,.430,13,41,.317,12,14,.857,16,34,50,23,7,1,9,22,111,,UTA,240,40,81,.494,19,43,.442,22,27,.815,7,36,43,17,4,7,13,18,121,
"May 29, 2021",WAS,240,38,96,.396,8,35,.229,19,25,.760,13,28,41,18,5,3,8,18,103,,PHI,240,51,87,.586,17,33,.515,13,20,.650,7,44,51,31,7,5,15,25,132,
"May 29, 2021",POR,240,42,84,.500,12,33,.364,19,25,.760,4,40,44,24,6,7,6,21,115,,DEN,240,32,94,.340,13,44,.295,18,22,.818,14,33,47,20,5,5,7,18,95,
